Company Name,Triggers,Description,Primary Industry,Size,Type,Location,HQ_STATE,HQ_CITY,Country,Domain,LinkedIn URL,Enrich Company,Employee Count,Founded,Follower Count,Research company ICP with AI,Confidence,Evidence Quote,Role,Has ngAbs Program,Company Research Narrative,Conference Presence,Modality Types,Antibody Trials Overview,ngAb Press Mentions (News),NA Site Classification,Record ID,Site Verdict,Lab & Process Job Openings,LinkedIn URL (Confirmed Only),Update People Search (Find people Table) - 2026-06-03T17:04:45.167Z,Contacts,data status,Share,NA Site Verdict,NA Sites Detail,Review Disposition,Review Note,Reclassify Verdict,Reclassify Evidence
"Distek, Inc.",,"For 50 years, Distek, Inc. has been helping science improve lives through reliable, user-friendly laboratory instruments and responsive service.

We design and manufacture benchtop testing and bioprocessing solutions for the pharmaceutical, biotechnology, and life science industries — with a focus on improving the user experience and supporting every customer with flexibility and care.

Our product portfolio includes bathless and water bath dissolution systems, automated media preparation and sampling equipment, fiber optic UV analysis, tablet disintegration testing, and a growing line of BIOne benchtop bioreactor solutions for cell culture and microbial fermentation. Each system is built with the same commitment to performance, simplicity, and long-term reliability that defines the Distek brand.

Beyond instrumentation, Distek provides validation, qualification, and service support to ensure confidence and compliance throughout the product lifecycle.

Trusted worldwide by pharmaceutical innovators, generics and biosimilar manufacturers, CMOs, CROs, academic programs, research institutions, cultured food producers, animal health and agricultural organizations, nutraceutical companies, government agencies, and more, Distek continues to set the standard for innovation, quality, and customer support across every industry we serve.

ISO certified since 2002 — and proudly celebrating 50 years of quality, innovation, and passion for service.",Pharmaceutical Manufacturing,51-200 employees,Privately Held,"North Brunswick, NJ",NJ,North Brunswick,United States,distekinc.com,https://www.linkedin.com/company/distek-inc-,"Distek, Inc.",62,1976,3596,Response,high,"From the Bioprocessing page: ""Distek’s bioprocessing portfolio includes the BIOne single-use bioreactor, BIOne 250 bioprocess control station for microbial applications, and BIOne 1250 for both cell culture and microbial models. These versatile, benchtop solutions are designed for modern labs, offering flexibility and customization to optimize upstream bioprocessing.""",not applicable,no,"not applicable developing none. Verdict: no (confidence: high). Evidence: From the Bioprocessing page: ""Distek’s bioprocessing portfolio includes the BIOne single-use bioreactor, BIOne 250 bioprocess control station for microbial applications, and BIOne 1250 for both cell culture and microbial models. These versatile, benchtop solutions are designed for modern labs, offering flexibility and customization to optimize upstream bioprocessing."".",,none,,,,rec0fe4AykmYgY2fs,pending,❌ No Job Found,,,,,,,,,,,
Bora Biologics,,"Bora Biologics | U.S.-Based Commercial Biologics CDMO

Bora Biologics is a U.S.-based Contract Development and Manufacturing Organization (CDMO) specializing in commercial-stage biologics manufacturing and GMP drug substance production.

We support biopharma innovators with inspection-ready manufacturing, disciplined technology transfer, and scalable process execution from late-stage development through sustained commercial supply.

With more than 100 successful cGMP manufacturing batches and experience supporting over 50 biologics and biosimilars, our platform is built for regulatory durability and operational consistency.

Our focus is execution — delivering reliable, repeatable commercial manufacturing supported by robust quality systems and experienced operational leadership.

Core Capabilities
+ GMP Drug Substance Manufacturing (Mammalian and Microbial)
+ Late-Stage Clinical and Commercial Production
+ Process Validation (PPQ) and Commercial Readiness
+ Technology Transfer and Scale-Up
+ Integrated Process and Analytical Development
+ Quality Control and Quality Assurance

We manufacture monoclonal antibodies (mAbs), bispecifics, fusion proteins, recombinant proteins, and other complex biologics within FDA-registered facilities designed for commercial scalability.

U.S. Manufacturing Headquarters
San Diego, California

+ FDA-registered GMP facility
+ 130,000 sq ft GMP and R&D space
+ Commercial-scale single-use bioreactors up to 2000L (with accommodation for 5000L)
+ GMP warehouse and controlled storage
+ Dedicated GMP manufacturing suites

Taiwan Manufacturing Operations
Zhubei City, Taiwan

+ 70+ successful cGMP batches since 2014
+ cGMP-compliant facilities supporting global regulatory standards (FDA, EMA, PIC/S)
+ Integrated manufacturing and development infrastructure

At Bora Biologics, commercialization is not an endpoint — it is the operating standard.",Pharmaceutical Manufacturing,201-500 employees,Public Company,"San Diego, California",California,San Diego,United States,borabiologics.com,https://www.linkedin.com/company/bora-biologics,Bora Biologics,80,2011,3590,Response,medium,"From the Home page: ""A technology-driven Contract Development and Manufacturing Organization (CDMO), Bora Biologics specializes in mammalian and microbial development and manufacturing.""",CDMO service provider,yes,"CDMO service provider developing bispecific antibodies, Fc-fusion proteins. Verdict: yes (confidence: medium). Evidence: From the Home page: ""A technology-driven Contract Development and Manufacturing Organization (CDMO), Bora Biologics specializes in mammalian and microbial development and manufacturing."".",Response,"bispecific antibodies, Fc-fusion proteins",Response,✅ 10 Results Found,Response,rec0LZ3e7KgLSnKIU,confirmed,❌ No Job Found,https://www.linkedin.com/company/bora-biologics,People Search Updated,"Miguel Carrion,Udesh de Silva,Anke Hartung,Nicole Kosina Choudhary,Phil Lee",,,,,,,,
Denison Pharmaceuticals,,"Denison is a leading provider of turnkey formulation, manufacturing and packaging solutions for the branded OTC, Rx, and Cosmetic markets. Our product dosage forms include liquids, suspensions, creams, lotions, gels, and ointments.
Located in Lincoln, Rhode Island, our state-of-the-art manufacturing site offers manufacturing and packaging of short, medium, and large production runs. In addition, our company maintains two sophisticated laboratories capable of providing a full suite of formulation development and analytical services.",Pharmaceutical Manufacturing,201-500 employees,Privately Held,"Lincoln, RI",RI,Lincoln,United States,denisonpharmaceuticals.com,https://www.linkedin.com/company/denison-pharmaceuticals,Denison Pharmaceuticals,65,1992,3572,Response,high,"From LinkedIn (company description): ""Denison is a leading provider of turnkey formulation, manufacturing and packaging solutions for the branded OTC, Rx, and Cosmetic markets. Our product dosage forms include liquids, suspensions, creams, lotions, gels, and ointments.""",not applicable,no,"not applicable developing none. Verdict: no (confidence: high). Evidence: From LinkedIn (company description): ""Denison is a leading provider of turnkey formulation, manufacturing and packaging solutions for the branded OTC, Rx, and Cosmetic markets. Our product dosage forms include liquids, suspensions, creams, lotions, gels, and ointments."".",,none,,,,rec4qZRoNlgVheFWr,pending,❌ No Job Found,,,,,,,,,,,
"Sepax Technologies, Inc.",,"Advanced chromatography solutions for high-performance biotherapeutics separations.

Sepax Technologies, Inc. is a Delaware-based chromatography company focused on solving complex challenges in biologics analysis and purification.

We design and manufacture high-performance HPLC columns and process media that support bioanalytical characterization, downstream processing, and purification across a wide range of modalities, including mAbs, bispecific antibodies, ADCs, recombinant proteins, AAVs, VLPs, and nucleic acids.

Our innovation is built on deep expertise in polymer bead engineering, linker and organic synthesis, and protein chemistry. This integrated foundation enables consistent, high-resolution performance from early-stage R&D through commercial manufacturing.

At Sepax, we focus on what matters most in real workflows: reproducibility, resolution, and methods that hold up under real-world conditions.",Biotechnology Research,201-500 employees,Public Company,"Newark, Delaware",Delaware,Newark,United States,sepax-tech.com,https://www.linkedin.com/company/sepax-technologies-inc,"Sepax Technologies, Inc.",87,2002,3569,Response,high,"From the ADC Directory: ""Sepax develops and manufactures HPLC consumables, bulk media, and equipment for chemical and biological separations in liquid chromatography.""",not applicable,no,"not applicable developing none. Verdict: no (confidence: high). Evidence: From the ADC Directory: ""Sepax develops and manufactures HPLC consumables, bulk media, and equipment for chemical and biological separations in liquid chromatography."".",,none,,,,recGNbEgV6kvIKWqW,pending,❌ No Job Found,,,,,,,,,,,
Angitia Biopharmaceuticals,,"Angitia is a clinical-stage biotechnology company focused on discovering and developing breakthrough therapeutics that address the key unmet medical needs of serious musculoskeletal diseases. With the team’s experience and scientific expertise in new drug development, Angitia is dedicated to bringing innovative therapeutics to help patients in need.",Biotechnology Research,51-200 employees,Privately Held,"Westlake Village, CA",CA,Westlake Village,United States,angitiabio.com,https://www.linkedin.com/company/angitia-biopharmaceuticals,Angitia Biopharmaceuticals,58,2018,3545,Response,high,"From the Pipeline page: ""Angitia Biopharmaceuticals is a clinical-stage biotechnology company focused on the discovery and development of innovative therapeutics for serious musculoskeletal diseases. Angitia is currently studying three biologic product candidates in the clinic for the treatment of osteoporosis, osteogenesis imperfecta (OI), and spinal fusion.""",not applicable,no,"not applicable developing none. Verdict: no (confidence: high). Evidence: From the Pipeline page: ""Angitia Biopharmaceuticals is a clinical-stage biotechnology company focused on the discovery and development of innovative therapeutics for serious musculoskeletal diseases. Angitia is currently studying three biologic product candidates in the clinic for the treatment of osteoporosis, osteogenesis imperfecta (OI), and spinal fusion."".",,none,,,,rec36tP9XKpqZKfol,pending,❌ No Job Found,,,"""Ryan Flynn, MS, MBA"",Lu L.",,,,,,,,
Hongene Biotech Corporation,,"Hongene is a vertically integrated nucleic acid CDMO and specialist raw materials supplier supporting the development and manufacture of oligonucleotide and mRNA-based therapeutics. 

With nearly three decades of RNA-focused experience, we offer fully integrated capabilities spanning critical raw materials, oligonucleotide and mRNA drug substance and drug product. 

By uniting raw material synthesis with cGMP manufacturing under one roof, we minimize handoffs, support consistent quality, and help customers move faster from development to market. 

We serve biotech and pharma partners in the US, Europe, Asia, and beyond, combining deep nucleic acid specialization with a commitment to innovation and environmental sustainability.

Continuously innovating to make RNA medicines accessible and affordable for patients worldwide.",Biotechnology Research,"1,001-5,000 employees",Privately Held,"Union City, California",California,Union City,United States,hongene.com,https://www.linkedin.com/company/hongene-biotech-corporation,Hongene Biotech Corporation,77,1998,3529,Response,high,"From the Services page: ""Vertically integrated CDMO services for oligonucleotide and mRNA therapeutics From raw materials to GMP drug product: Fewer handoffs, faster timelines, greater confidence""",not applicable,no,"not applicable developing none. Verdict: no (confidence: high). Evidence: From the Services page: ""Vertically integrated CDMO services for oligonucleotide and mRNA therapeutics From raw materials to GMP drug product: Fewer handoffs, faster timelines, greater confidence"".",,none,,,,recYdG7iEvqasgqXi,pending,❌ No Job Found,,,Xiaocen (Chris) Li,,,,,,,,
CORXEL Pharmaceuticals,,"CORXEL is a clinical-stage biopharmaceutical company dedicated to developing innovative therapies for patients with cardiometabolic conditions around the world. 

Led by an experienced management team that has a strong track record of identifying, in-licensing and developing attractive clinical product candidates directed at validated targets with proven mechanisms of action (MoAs), CORXEL's diverse portfolio of clinical-stage product candidates has the potential to redefine treatment standards and address key limitations of current therapies for multiple cardiometabolic indications.",Biotechnology Research,51-200 employees,Privately Held,"Berkeley Heights, New Jersey",New Jersey,Berkeley Heights,United States,corxelbio.com,https://www.linkedin.com/company/corxel-pharmaceuticals,CORXEL Pharmaceuticals,59,2019,3396,Response,high,"From the Pipeline page: ""CX11 (also known as VCT220, oral small-molecule GLP-1 RA)"" and From the press release: ""Proceeds from the round are expected to support the advancement of CX11, an oral small molecule GLP-1 receptor agonist (RA)... CORXEL is developing selective small molecule compounds across the cardiometabolic spectrum.""",not applicable,no,"not applicable developing none. Verdict: no (confidence: high). Evidence: From the Pipeline page: ""CX11 (also known as VCT220, oral small-molecule GLP-1 RA)"" and From the press release: ""Proceeds from the round are expected to support the advancement of CX11, an oral small molecule GLP-1 receptor agonist (RA)... CORXEL is developing selective small molecule compounds across the cardiometabolic spectrum."".",,none,,,,recV6OPxrWbS93oYL,pending,❌ No Job Found,,,郭升,,,,,,,,
Laboratorios Corne,,"Corne es un laboratorio de origen mexicano que cuenta con más de 35 años de experiencia en la industria farmacéutica. Mismos que la han llevado a posicionarse como una empresa líder en el mercado público y privado, ofreciendo recientes y avanzados medicamentos y tratamientos de alta especialidad para el cuidado y bienestar de las personas. 

A lo largo del tiempo Corne ha construido fuertes lazos comerciales con empresas y socios a nivel nacional e internacional. Teniendo un portafolio de productos que se especializa en distintas líneas terapéuticas, entre las cuales se destacan; ginecología, fertilidad, traumatología, neurología, neumología, reumatología, entre otras. 

El compromiso por la salud de la población se refleja en su laboratorio ubicado en Monterrey, que está dedicado en gran medida a la fabricación de medicamentos. Mismo que cuenta con las certificaciones y los estándares de calidad más exigentes a nivel internacional (PIC ́s y COFEPRIS). 

Históricamente Corne ha lanzado productos modernos e innovadores que se han convertido en los líderes del mercado y han mejorado la calidad de vida de las personas, revolucionando así la industria farmacéutica en México.",Pharmaceutical Manufacturing,201-500 employees,Privately Held,"Cd Gral Escobedo, Nuevo León",Nuevo León,Cd Gral Escobedo,Mexico,corne.com.mx,https://www.linkedin.com/company/laboratorioscorne,Laboratorios Corne,140,,3307,Response,high,"From the Home page: ""Somos un laboratorio farmacéutico de origen mexicano dedicado al desarrollo, fabricación y comercialización de medicamentos, dispositivos médicos y tratamientos de alta especialidad para el cuidado y bienestar de las personas.""",not applicable,no,"not applicable developing none. Verdict: no (confidence: high). Evidence: From the Home page: ""Somos un laboratorio farmacéutico de origen mexicano dedicado al desarrollo, fabricación y comercialización de medicamentos, dispositivos médicos y tratamientos de alta especialidad para el cuidado y bienestar de las personas."".",,none,,,,recP2Vfn1Eew06Jsd,pending,❌ No Job Found,,,,,,,,,,,
Drugmex,,CMO. Contract Manufacturer Organization: Freeze-Drying Services to the Pharmaceutical Industry (Servicios de Maquila o Tercerización de Liofilización en viales y de llenado estéril de ampolletas para la Industria Farmacéutica). Located in Queretaro Mexico.,Pharmaceutical Manufacturing,51-200 employees,Privately Held,"Parque Industrial El Marqués, Qro.",Qro.,Parque Industrial El Marqués,Mexico,drugmex.com.mx,https://www.linkedin.com/company/drugmex,Drugmex,65,2013,3248,Response,medium,"From the Homepage (drugmex.com.mx): ""Su producto en nuestras manos es **Garantía** de Calidad!""; From attempted Services page (drugmex.com.mx/servicios/): ""# 404 ## The page cannot be found.""; From Mexican government press release (gob.mx): ""The shipment will be transferred to the Drugmex pharmaceutical plant in the state of Querétaro for the fill-finish stage and final supervision by the Commission""",not applicable,unclear,"not applicable developing none. Verdict: unclear (confidence: medium). Evidence: From the Homepage (drugmex.com.mx): ""Su producto en nuestras manos es **Garantía** de Calidad!""; From attempted Services page (drugmex.com.mx/servicios/): ""# 404 ## The page cannot be found.""; From Mexican government press release (gob.mx): ""The shipment will be transferred to the Drugmex pharmaceutical plant in the state of Querétaro for the fill-finish stage and final supervision by the Commission"".",,none,,,,rec8QMPifnScP5lS9,excluded,❌ No Job Found,,,,,,,,,,excluded,"From the homepage (Misión): ""El objetivo de DRUGMEX es cubrir el servicio de Tercero o Contract Manufacturing (CMO) de productos inyectables estériles en las formas farmacéuticas liofilizados y soluciones en ampollas y viales, para consumo humano."""
BWXT Medical,,"BWXT Medical Ltd. manufactures custom radiopharmaceuticals, radiotherapies and medical isotopes in an 80,000-square-foot cGMP manufacturing facility in Ottawa and at the state-of-the-art commercial cyclotron facility within TRIUMF, Canada’s particle acceleration centre. BWXT Medical Ltd. is a subsidiary of BWX Technologies, Inc. (NYSE: BWXT). BWXT is a manufacturing and engineering innovator that provides safe and effective nuclear solutions for global security, clean energy, environmental restoration, nuclear medicine and space exploration. For more information, visit www.bwxt.com. Follow us on LinkedIn, X, Facebook and Instagram.",Pharmaceutical Manufacturing,201-500 employees,Public Company,"Kanata, Ontario",Ontario,Kanata,Canada,bwxtmedical.com,https://www.linkedin.com/company/bwxt-medical-ltd,BWXT,4180,,75949,Response,high,"From Contract Manufacturing Services PDF: ""Complex radiochemistry and radiolabeling expertise... Develop and manufacture radiochemicals and APIs suited to your needs... Radiopharmaceutical unit doses in a variety of configurations""; From Product Pipeline page: ""Selected products currently in development include: Target Delivery System... Lutetium-177... Lead-203""; From BWXT press release (DMF): ""Ac-225 is an alpha-emitting isotope used in targeted alpha therapies (TATs) that combine the isotope with specific tumor-seeking targeting vectors... An active DMF enables clinical investigators or pharmaceutical companies to reference the filing"".",CDMO service provider,yes,"CDMO service provider developing radioimmunoconjugates. Verdict: yes (confidence: high). Evidence: From Contract Manufacturing Services PDF: ""Complex radiochemistry and radiolabeling expertise... Develop and manufacture radiochemicals and APIs suited to your needs... Radiopharmaceutical unit doses in a variety of configurations""; From Product Pipeline page: ""Selected products currently in development include: Target Delivery System... Lutetium-177... Lead-203""; From BWXT press release (DMF): ""Ac-225 is an alpha-emitting isotope used in targeted alpha therapies (TATs) that combine the isotope with specific tumor-seeking targeting vectors... An active DMF enables clinical investigators or pharmaceutical companies to reference the filing""..",Response,radioimmunoconjugates,Response,✅ 10 Results Found,Response,recpQaIDOzyGQIEdv,confirmed,❌ No Job Found,https://www.linkedin.com/company/bwxt-medical-ltd,People Search Updated,,,,,,,,,
Facet Biotech,,"With several products currently in the clinic and a compelling long-term vision for our future, Facet Biotech is a small but sophisticated biotechnology company. Combining our expertise in antibody engineering with a disciplined, biology-driven research approach, our company is dedicated to advancing our current pipeline of four clinical-stage products and leveraging our research and development capabilities to identify and develop new drugs. We are passionate and committed about the work that we do, and we share a common goal of developing therapeutics that will improve people’s lives.

Facet Biotech Corporation launched in December 2008 as a spin-off from PDL BioPharma, Inc.",Biotechnology Research,51-200 employees,Public Company,redwood city,,redwood city,United States,facetbiotech.com,https://www.linkedin.com/company/facet-biotech,Facet Biotech,157,2008,3114,Response,medium,From the SEC Schedule TO press release (Abbott acquisition): 'The compounds include daclizumab — a Phase II investigational biologic intended to treat multiple sclerosis ... Facet Biotech is a biotechnology company dedicated to advancing its pipeline of five clinical-stage products focused in multiple sclerosis and oncology... applying its proprietary next-generation protein engineering technologies to potentially improve the clinical performance of protein therapeutics.',developer,no,developer developing none. Verdict: no (confidence: medium). Evidence: From the SEC Schedule TO press release (Abbott acquisition): 'The compounds include daclizumab — a Phase II investigational biologic intended to treat multiple sclerosis ... Facet Biotech is a biotechnology company dedicated to advancing its pipeline of five clinical-stage products focused in multiple sclerosis and oncology... applying its proprietary next-generation protein engineering technologies to potentially improve the clinical performance of protein therapeutics.'.,,none,,,,recpA7kspx05OSKHo,pending,❌ No Job Found,,,,,,,,,,,
"Pegasus Laboratories, Inc.",,"About Us
Pegasus Laboratories was founded in 1986 and acquired by PBI-Gordon Corporation in 1999. We employ over 100 employee/owners and pride ourselves on a quality workforce.

As a Contract Development and Manufacturing Organization, we produce animal health products, as well as distribute products labeled under our PRN Pharmacal brand name into the veterinary market.

At Pegasus Laboratories, we can provide full turn-key technical services in a cGMP facility that is DEA approved.

Our Mission
Pegasus Laboratories is committed to continually improving our manufacturing capabilities and services to provide our customers – our partners in business – with competitive strategies that support their ultimate goals from concept to commercialization.

Providing all phases of development and manufacturing of pharmaceutical products and nutritional supplements, Pegasus Laboratories offers unmatched technical expertise in taking your product from conception to completion. A full-service Contract Development and Manufacturing Organization, we offer the technical services needed for research, formulations and method development, and site transfer of existing products, all through our state-of-the-art manufacturing and laboratory facilities. And Pegasus does it with the pride and integrity that come with being 100% employee-owned.",Pharmaceutical Manufacturing,51-200 employees,Privately Held,"Pensacola, FL",FL,Pensacola,United States,pegasuslabs.com,https://www.linkedin.com/company/pegasus-laboratories-inc-,"Pegasus Laboratories, Inc.",128,,3033,Response,high,"From the About page: ""And we are a full-service Contract Development and Manufacturing Organization (CDMO) focusing on the development and manufacturing of animal health products. We can provide full turn-key technical services in a DEA-approved CGMP facility.""",not applicable,no,"not applicable developing none. Verdict: no (confidence: high). Evidence: From the About page: ""And we are a full-service Contract Development and Manufacturing Organization (CDMO) focusing on the development and manufacturing of animal health products. We can provide full turn-key technical services in a DEA-approved CGMP facility."".",,none,,,,recm1Yo7Ol7ncsg0K,pending,❌ No Job Found,,,,,,,,,,,
"OncoC4, Inc.",,"Based in Rockville, Maryland, OncoC4 is a privately held, late clinical-stage biopharmaceutical company that is actively engaged in the discovery and development of novel biologics for the potential treatment of cancer. Its lead clinical candidate is BNT316/ONC-392, a next generation anti-CTLA-4 antibody that is designed to allow CTLA-4 to recycle and maintain its protective function against autoimmune diseases while enhancing anti-tumor activity at the same time. In addition, OncoC4 has a pipeline of potentially first-in-class preclinical product candidates focusing on the CD24-Siglecs cancer immune evasion pathway.",Pharmaceutical Manufacturing,51-200 employees,Privately Held,"Rockville, Maryland",Maryland,Rockville,United States,oncoc4.com,https://www.linkedin.com/company/oncoc4,"OncoC4, Inc.",69,2020,3028,Response,high,"From the WuXi Biologics news page: ""This long-term supply agreement is another significant step forward in our relationship with WuXi Biologics. It allows OncoC4 to leverage world-class manufacturing capacity to meet the challenges associated with the production of our best-in-class and first-in-class biologics, that include bispecific antibodies and antibody-drug conjugates that target innate and adaptive immune checkpoints for cancer treatment.""; From the Pipeline page: ""From monoclonal and bispecific antibodies, to antibody drug conjugates, discover what we have in development.""; From the Merger (GlobeNewswire) news: ""Adds IND-ready AI-081, a PD-1/VEGF bispecific antibody with best-in-class potential..."" and ""ONC-783 — Bispecific mAb for hematological malignancies"" and ""ONC-784 — ADC for solid tumors"".",developer,yes,"developer developing bispecific antibodies, ADCs. Verdict: yes (confidence: high). Evidence: From the WuXi Biologics news page: ""This long-term supply agreement is another significant step forward in our relationship with WuXi Biologics. It allows OncoC4 to leverage world-class manufacturing capacity to meet the challenges associated with the production of our best-in-class and first-in-class biologics, that include bispecific antibodies and antibody-drug conjugates that target innate and adaptive immune checkpoints for cancer treatment.""; From the Pipeline page: ""From monoclonal and bispecific antibodies, to antibody drug conjugates, discover what we have in development.""; From the Merger (GlobeNewswire) news: ""Adds IND-ready AI-081, a PD-1/VEGF bispecific antibody with best-in-class potential..."" and ""ONC-783 — Bispecific mAb for hematological malignancies"" and ""ONC-784 — ADC for solid tumors""..",,"bispecific antibodies, ADCs",,,Response,rec38vUtBvz9IwfAi,excluded,❌ No Job Found,,,,,,,,,,,
"URL Pharma, Inc.",,"URL Pharma is a leading specialty pharmaceutical company with fully integrated technology development, product development, manufacturing, and commercialization capabilities. We leveraged over 60 years of experience, as a generic pharmaceutical R&D and manufacturing company, to successfully transition into a growing, profitable, and technology driven proprietary branded pharmaceutical business.",Pharmaceutical Manufacturing,"501-1,000 employees",Privately Held,"Philadelphia, PA",PA,Philadelphia,United States,urlpharma.com,https://www.linkedin.com/company/url-pharma-inc,"URL Pharma, Inc.",176,1946,3009,Response,high,"From the Technology page: 'Comprehensive, proprietary lifecycle management tools include: + Z-Burst™ zero-order release technology for controlled delivery + NanoBurst™ nanoparticle technology for maximizing drug solubility + MultiBurst™ multiparticulate technology for optimal site-specific drug delivery' From the Homepage: 'Bestsellers Generic Viagra Order... Cialis Order... Zanaflex Order'",not applicable,no,"not applicable developing none. Verdict: no (confidence: high). Evidence: From the Technology page: 'Comprehensive, proprietary lifecycle management tools include: + Z-Burst™ zero-order release technology for controlled delivery + NanoBurst™ nanoparticle technology for maximizing drug solubility + MultiBurst™ multiparticulate technology for optimal site-specific drug delivery' From the Homepage: 'Bestsellers Generic Viagra Order... Cialis Order... Zanaflex Order'.",,none,,,,recMcOer0GxwaUop7,pending,❌ No Job Found,,,,,,,,,,,
"LTS Lohmann Therapy Systems, Corp.",,"At LTS, our purpose drives everything we do: We CARE for patients, our partners , employees and communities, we CREATE innovative drug delivery solutions, and we DELIVER high-quality products to global markets with an exceptional track record in commercial manufacturing. As a global CDMO, we offer end-to-end development and manufacturing services for pharmaceutical and biotech companies.
Our technology portfolio spans transdermal patches, oral thin films, nasal and sterile (drug delivery systems) dosage forms  , wearable drug delivery devices as well as microneedle array patches. With over 40 commercial    products and 50+ active development programs, we combine deep expertise with patient-centric innovation to advance small molecules, biologics, and vaccines.
Operating from five global sites in the US, Germany and Israel and a representative office in China, LTS powers the future of drug delivery.",Pharmaceutical Manufacturing,201-500 employees,Public Company,"Caldwell, New Jersey",New Jersey,Caldwell,United States,ltslohmann.com,https://www.linkedin.com/company/lts-lohmann-therapy-systems-corp,LTS Lohmann Therapie-Systeme AG,327,1984,5712,Response,high,"From the Home page: ""From concept to market, launch to lifecycle management, we deliver single source oral and transdermal drug delivery solutions that power partners’ market advantage.""; From the CDMO page: ""Total, global team – local contract development and manufacturing.""; From the Technologies page: ""Micro Array Patches – The game changer microneedle technology.""",not applicable,no,"not applicable developing none. Verdict: no (confidence: high). Evidence: From the Home page: ""From concept to market, launch to lifecycle management, we deliver single source oral and transdermal drug delivery solutions that power partners’ market advantage.""; From the CDMO page: ""Total, global team – local contract development and manufacturing.""; From the Technologies page: ""Micro Array Patches – The game changer microneedle technology."".",,none,,,,recRUrJQTqvBhpiWJ,pending,❌ No Job Found,,,,,,,,,,,
Nitto Avecia Pharma Services,,"Nitto Avecia Pharma Services is your single source for analytical services for the pharma, biotech, and medical device industries. With more than 30 years’ experience, we have deep scientific expertise across a range of products, with a special focus on oligonucleotide testing.",Pharmaceutical Manufacturing,51-200 employees,Privately Held,"Irvine, CA",CA,Irvine,United States,aveciapharma.com,https://www.linkedin.com/company/nitto-avecia-pharma-services,Nitto Avecia,611,,12781,Response,medium,"From the Protein & Gene Therapy Analysis page: ""We have the expertise and instrumentation to perform testing of CAR-T, AAV, mAb, protein and CRISPR products.""",CDMO service provider,unclear,"CDMO service provider developing none. Verdict: unclear (confidence: medium). Evidence: From the Protein & Gene Therapy Analysis page: ""We have the expertise and instrumentation to perform testing of CAR-T, AAV, mAb, protein and CRISPR products."".",,none,,,,recOswC6V65jvJGSs,excluded,❌ No Job Found,,,,,,,,,,excluded,"From the homepage: ""Together as a team we can deliver end-to-end results for your oligonucleotide drug development program."" and ""Nitto Avecia Pharma Services is your single source for high-quality analytical testing services for the pharma, biotech, and medical device industries."""
BioHarvest Sciences,,"BioHarvest Sciences Inc. (Nasdaq: BHST) is a public biotech company that has developed a patented Botanical Synthesis platform technology capable of growing the active and beneficial compounds in fruit & plants, at an industrial scale, without the need to grow the plant itself.

BioHarvest has invested 17 years and >$100M to develop our Botanical Synthesis Technology, which produces unique and patentable botanical compositions which contain a “target optimized” combination of the phyto-medicinal compounds (with high solubility and bio-availability) found in the original plant. No other company has developed a commercially viable plant cell culture platform at the industrial scale of BioHarvest.

BioHarvest is focused on leveraging this platform technology across the following business units:

1.	Biologics+ CDMO Services: BioHarvest is leveraging its Botanical Synthesis technology to allow global pharmaceutical, nutrition, cosmetics, and nutraceutical partners to develop proprietary compounds with unmatched predictability and consistency, manufactured at industrial scale under exclusive partnerships. 

2.	Direct to Consumer Business Anchored in Science: BioHarvest has built its own direct to consumer business of propriety botanical compositions. The first product, VINIA was launched into the US in 2021 and has now exceeded 60,000 daily users (>$50M USD Revenue since 2021 launch). VINIA contains multiple polyphenols, including Piceid Resveratrol, with an amount in each daily 400mg capsule that is equivalent to 1,000 grapes, resulting in a powerful nutraceutical that has been clinically proven (in a published double-blind placebo-controlled study), to significantly increase dilation of arteries. This increased dilation of arteries improves blood flow and the delivery of oxygen and nutrients to the body, tissue & organs.",Biotechnology Research,51-200 employees,Public Company,"Vancouver, British Columbia",British Columbia,Vancouver,Canada,bioharvest.com,https://www.linkedin.com/company/bioharvestsciences,BioHarvest Sciences,56,2018,2993,Response,high,"From the Home page: ""In response to high demand, we have launched our Contract Development and Manufacturing Organization (CDMO) business unit, to allow industry partners to leverage our proprietary Botanical Synthesis process technology to address unmet needs in the pharmaceutical, nutraceutical, cosmeceutical, and nutrition sectors.""",not applicable,no,"not applicable developing none. Verdict: no (confidence: high). Evidence: From the Home page: ""In response to high demand, we have launched our Contract Development and Manufacturing Organization (CDMO) business unit, to allow industry partners to leverage our proprietary Botanical Synthesis process technology to address unmet needs in the pharmaceutical, nutraceutical, cosmeceutical, and nutrition sectors."".",,none,,,,recekHvqrHaSHIOMX,pending,❌ No Job Found,,,,,,,,,,,
